method,gamma,return,volatility
CLARABEL,0.30083634520041663,0.30945241743761565,0.21070594543146964
CLARABEL,0.3103794557231064,0.31019119258282085,0.2117747540136834
CLARABEL,0.32022529216273127,0.31095340305136515,0.21290655214161885
CLARABEL,0.330383457570683,0.3117397922589383,0.21410472115493612
CLARABEL,0.3408638596257105,0.31255112719647526,0.21537278845489197
CLARABEL,0.35167672029728797,0.31338819915833144,0.2167144303149934
CLARABEL,0.36283258581552597,0.3142518244574643,0.21813347438570818
CLARABEL,0.3743423369573438,0.31514284496540357,0.21963390157882545
CLARABEL,0.38621719965894297,0.31606212689730884,0.22121984480573495
CLARABEL,0.39846875596492587,0.3170105232473291,0.2228955251288325
CLARABEL,0.4111089553247426,0.31798900603379926,0.22466545783453223
CLARABEL,0.4241501262474842,0.31873702879885935,0.2260480318090997
CLARABEL,0.43760498832638595,0.3192568501188963,0.22703673340219652
CLARABEL,0.45148666464477405,0.3197932928901146,0.2280846653100938
CLARABEL,0.4658086945755498,0.32034662579321094,0.22919464260152048
CLARABEL,0.48058504698670146,0.3209175687098414,0.2303703836209739
CLARABEL,0.4958301338657179,0.3214925830879852,0.23158533271760168
CLARABEL,0.5115588243761954,0.321732677979887,0.23210664773186981
CLARABEL,0.5277864593603492,0.32197195816657836,0.23264178723367174
CLARABEL,0.5445288663015695,0.3222189753423029,0.2332103585801621
CLARABEL,0.5618023747616222,0.3224737716456135,0.23381393793468902
CLARABEL,0.5796238323075447,0.3227366407367369,0.23445469111839584
CLARABEL,0.598010620943774,0.3230078461903935,0.23513481776620382
CLARABEL,0.6169806740655365,0.32328765394358133,0.2358566220851849
CLARABEL,0.6365524939500268,0.32357633734702723,0.2366225267973658
CLARABEL,0.6567451698024469,0.3238741781491622,0.23743507923401505
CLARABEL,0.6775783963744958,0.3241814668784287,0.23829695626962985
CLARABEL,0.699072493173474,0.3244985033458129,0.2392109693276278
CLARABEL,0.721248424280742,0.32482559678722955,0.24018006882939621
CLARABEL,0.7441278187988525,0.3251630662398769,0.2412073488778414
CLARABEL,0.7677329919473117,0.3255112408573696,0.24229605174856564
CLARABEL,0.7920869668275324,0.3258704602323068,0.24344957225847616
CLARABEL,0.8172134968782193,0.3262410747282766,0.24467146198585593
CLARABEL,0.8431370890430792,0.32662344582199154,0.24596543331334986
CLARABEL,0.8698830276734549,0.3270179464560731,0.24733536326447758
CLARABEL,0.8974773991892017,0.3274249613918174,0.248785297090126
CLARABEL,0.9259471175218478,0.3278448876176562,0.25031945164819996
CLARABEL,0.9553199503648675,0.32827813470387,0.25194221840710473
CLARABEL,0.9856245462566599,0.3287251252130032,0.25365816618853615
CLARABEL,1.0168904625226516,0.3291862951125055,0.2554720435572964
CLARABEL,1.049148194103779,0.3296620941993539,0.25738878085040945
CLARABEL,1.0824292032994687,0.33015298653558095,0.25941349182802625
CLARABEL,1.1167659504541123,0.3306594508934664,0.26155147493462266
CLARABEL,1.1521919256169868,0.33118198097722074,0.2638082138505183
CLARABEL,1.1887416812064866,0.3317210863866685,0.2661893785086162
CLARABEL,1.2264508657105195,0.33227729329172423,0.2687008254396031
CLARABEL,1.2653562584559563,0.3328511442776884,0.27134859639834047
CLARABEL,1.305495805481025,0.3334431979445052,0.2741389174718074
CLARABEL,1.3469086565456578,0.3340540404220505,0.27707821157615337
CLARABEL,1.3896352033158614,0.3346842530444459,0.28017305474758686
